nohup: ignoring input

========================================
Simulando lamb = 0.0
========================================
[Parallel(n_jobs=8)]: Using backend LokyBackend with 8 concurrent workers.
[Parallel(n_jobs=8)]: Done   2 tasks      | elapsed:    0.4s
[Parallel(n_jobs=8)]: Done   9 tasks      | elapsed:    0.6s
[Parallel(n_jobs=8)]: Done  16 tasks      | elapsed:    0.6s
[Parallel(n_jobs=8)]: Done  25 tasks      | elapsed:    1.0s
[Parallel(n_jobs=8)]: Done  34 tasks      | elapsed:    1.2s
[Parallel(n_jobs=8)]: Done  45 tasks      | elapsed:    1.4s
[Parallel(n_jobs=8)]: Done  56 tasks      | elapsed:    1.6s
[Parallel(n_jobs=8)]: Done  69 tasks      | elapsed:    1.9s
[Parallel(n_jobs=8)]: Done  82 tasks      | elapsed:    2.3s
[Parallel(n_jobs=8)]: Done  97 tasks      | elapsed:    2.6s
[Parallel(n_jobs=8)]: Done 112 tasks      | elapsed:    2.9s
[Parallel(n_jobs=8)]: Done 129 tasks      | elapsed:    3.3s
[Parallel(n_jobs=8)]: Done 146 tasks      | elapsed:    3.8s
[Parallel(n_jobs=8)]: Done 165 tasks      | elapsed:    4.2s
[Parallel(n_jobs=8)]: Done 184 tasks      | elapsed:    4.6s
[Parallel(n_jobs=8)]: Done 205 tasks      | elapsed:    5.2s
[Parallel(n_jobs=8)]: Done 226 tasks      | elapsed:    5.6s
[Parallel(n_jobs=8)]: Done 249 tasks      | elapsed:    6.2s
[Parallel(n_jobs=8)]: Done 272 tasks      | elapsed:    6.8s
[Parallel(n_jobs=8)]: Done 297 tasks      | elapsed:    7.4s
[Parallel(n_jobs=8)]: Done 322 tasks      | elapsed:    8.0s
[Parallel(n_jobs=8)]: Done 349 tasks      | elapsed:    8.8s
[Parallel(n_jobs=8)]: Done 376 tasks      | elapsed:    9.5s
[Parallel(n_jobs=8)]: Done 405 tasks      | elapsed:   10.2s
[Parallel(n_jobs=8)]: Done 434 tasks      | elapsed:   11.0s
[Parallel(n_jobs=8)]: Done 465 tasks      | elapsed:   11.8s
[Parallel(n_jobs=8)]: Done 496 tasks      | elapsed:   12.7s
[Parallel(n_jobs=8)]: Done 529 tasks      | elapsed:   13.6s
[Parallel(n_jobs=8)]: Done 562 tasks      | elapsed:   14.5s
[Parallel(n_jobs=8)]: Done 597 tasks      | elapsed:   15.5s
[Parallel(n_jobs=8)]: Done 632 tasks      | elapsed:   16.4s
[Parallel(n_jobs=8)]: Done 669 tasks      | elapsed:   17.5s
[Parallel(n_jobs=8)]: Done 706 tasks      | elapsed:   18.6s
[Parallel(n_jobs=8)]: Done 745 tasks      | elapsed:   19.7s
[Parallel(n_jobs=8)]: Done 784 tasks      | elapsed:   20.9s
[Parallel(n_jobs=8)]: Done 825 tasks      | elapsed:   22.1s
[Parallel(n_jobs=8)]: Done 866 tasks      | elapsed:   23.4s
[Parallel(n_jobs=8)]: Done 909 tasks      | elapsed:   24.7s
[Parallel(n_jobs=8)]: Done 952 tasks      | elapsed:   25.9s
[Parallel(n_jobs=8)]: Done 997 tasks      | elapsed:   27.3s
[Parallel(n_jobs=8)]: Done 1042 tasks      | elapsed:   28.7s
[Parallel(n_jobs=8)]: Done 1089 tasks      | elapsed:   30.1s
[Parallel(n_jobs=8)]: Done 1136 tasks      | elapsed:   31.5s
[Parallel(n_jobs=8)]: Done 1185 tasks      | elapsed:   33.0s
[Parallel(n_jobs=8)]: Done 1234 tasks      | elapsed:   34.6s
[Parallel(n_jobs=8)]: Done 1285 tasks      | elapsed:   36.2s
[Parallel(n_jobs=8)]: Done 1336 tasks      | elapsed:   37.7s
[Parallel(n_jobs=8)]: Done 1389 tasks      | elapsed:   39.4s
